date | value
## Subject defined ##
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

## EXTRA valid ##
2023-12-01 | 2 
2023-11-01|42
2023-11-01   		|		42							
2023-11-01 | 0.00
2023-10-01 | 1000 
2023-10-01 | 1000.00000000
2023-10-01 | 1000.000001

## Extra invalid ##
date | value
toto| tata
madonnnnna
2023-11-01
	| 1
| 2
12 | 2
1212121212| 2
2023-13-01 | 2

## Correct date, wrong value ##
2012-01-11 | 2a648
2023-11-01 | 100..f
2023-11-01 | 200..f44
2023-11-01 | 300..f(4)
2023-11-01 | 400..0 
2023-11-01 | 500.0 0
2023-11-01 | 600iadsf
2023-11-01 | 700.0iadsf
2023-10-01 | -1f
2023-10-01 | 100	                  0
2023-10-01 | 1001 
2023-10-01 | 1000.001
2023-10-01 | 1000                   .
2023-10-01 | 1000                   f
2023-12-01 | 2f
2023-10-01 | 1000f
2023-10-01 | 1000.00f

## Leap years ##
2020-02-29 | 42
2021-02-29 | 42
2022-02-29 | 42
2023-02-29 | 42
2024-02-29 | 42

## Get value from closest previous date ##
1900-01-01 | 1
2010-08-19 | 1
2010-08-20 | 1
2030-01-01 | 1

